A(n) __________ is any action that compromises the security of information owned by an organization.;Threat;Attack;Vulnerability;Risk;1
A loss of _________ is the unauthorized disclosure of information.;Integrity;Availability;Authenticity;Confidentiality;3
The assurance that data received are exactly as sent by an authorized entity is __________.;Privacy;Exposure;System integrity;Data integrity;3
A(n) _________ is an attempt to learn or make use of information from the system that does not affect system resources.;Active attack;Passive attack;Inside attack;Exposure;0
_________assures that a system performs its intended function in an unimpaired manner, free from deliberate or inadvertent unauthorized manipulation of the system.;System integrity;Privacy;Data integrity;Availability;0
___________ assures that systems work promptly and service is not denied to authorized users.;Authenticity;Availability;Confidentiality;Integrity;1
Release of message contents and traffic analysis are two types of _________ attacks.;Active;High-risk;Countermeasure;Passive;3
A threat action in which sensitive data are directly released to an unauthorized entity is __________.;Interception;Disruption;Exposure;Intrusion;2
A(n) __________ is an action, device, procedure, or technique that reduces a threat, a vulnerability, or an attack by eliminating or preventing it, by minimizing the harm it can cause, or by discovering and reporting it so that correct action can be taken.;Risk;Countermeasure;Threat;Privacy;1
The CIA triad is made up of _______________;Confidentiality, Integrity, Availability;Confidentiality, Integrity, Authenticity;Counterintelligence, Integrity, Availability;Confidentiality, Inference, Availability;0
